Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
TUBB4B,-0.317408428,119.5287546,99.30027824,-12164.11103,-12192.03609,5.36823E-11
DLAT,-0.570507935,32.3528652,23.09270835,-4999.968578,-5027.890248,5.38156E-11
NXPH1,-0.450855303,19.37649224,10,-237.3457007,-265.2562361,5.43152E-11
STXBP1,0.452136704,254.5688992,356.3930741,-23003.3419,-23031.25268,5.43152E-11
PLXNB2,-0.69056121,219.4120738,133.0300071,-16067.21714,-16095.11951,5.47062E-11
KCNJ6,-0.350368199,138.5826723,106.6146764,-15516.3596,-15544.20951,5.75517E-11
MEN1,-1.354069027,96.41033957,35.22798629,-8046.112043,-8073.951611,5.80902E-11
CST3,0.416688653,544.4434451,743.1885857,-30145.43653,-30173.25024,5.95348E-11
HDLBP,0.259531133,371.0346037,439.8449134,-24589.70164,-24617.50142,6.0304E-11
CYS1,0.237102753,10,11.8587021,-1312.246478,-1340.024122,6.15781E-11
BCAT2,-0.628917312,237.0874751,150.2441016,-17531.17466,-17558.94229,6.21347E-11
KCNQ2,-0.762088085,76.38921842,44.90024546,-8709.234306,-8736.976605,6.36467E-11
KIRREL,0,10,10,-255.8500701,-283.5909037,6.36846E-11
EIF3F,1.13245397,52.13672847,121.321208,-8965.485868,-8993.222437,6.38982E-11
MEST,-0.839264997,114.5806116,62.82127687,-10945.45472,-10973.17187,6.50743E-11
GLTSCR2,0.740719354,70.30937237,119.2000778,-9495.864703,-9523.570308,6.5706E-11
MAD2L2,-1.559993181,57.94932064,18.57900836,-5175.671926,-5203.378192,6.5706E-11
SYTL5,1.319631822,10,27.28775607,-1566.49356,-1594.164877,6.79004E-11
GNG5,-0.451564789,318.8889582,231.4836676,-21202.95776,-21230.5863,7.07556E-11
RPL27,-0.143441746,779.421131,698.1001177,-29398.26751,-29425.89282,7.09206E-11
ABT1,-1.012694603,58.76455376,28.9892789,-6501.719916,-6529.321881,7.25058E-11
STRN4,-0.522819584,180.3603363,125.35683,-15429.04952,-15456.55277,7.98235E-11
PON1,0.521375696,11.27832029,16.43403499,-3816.434837,-3843.935251,7.9979E-11
DZIP3,0.455327826,90.470967,127.3256631,-14313.38059,-14340.85872,8.16817E-11
PABPC1,0.028768008,539.5523962,538.6363892,-26556.71015,-26584.17078,8.30285E-11
B3GALT5,-1.600249617,30.52544841,10,-3344.246004,-3371.698146,8.36535E-11
SVIP,0.604698335,117.9662451,180.5270556,-14378.78614,-14406.23507,8.38479E-11
CDK14,1.387587791,10,26.1449253,-2989.332925,-3016.74533,8.68388E-11
LOXL3,-1.330842054,25.62288504,10,-2625.718528,-2653.098128,8.96084E-11
SOX5,0.352597675,38.62228235,48.74311867,-8378.942968,-8406.304622,9.11264E-11
SNRPN,0.451794638,525.9571921,736.1942517,-29430.84286,-29458.18358,9.29427E-11
NDUFAF3,0.605241604,186.5387106,289.6476152,-18832.24349,-18859.58094,9.31641E-11
INA,0.553475274,333.5638178,508.7979397,-25714.48743,-25741.80666,9.47681E-11
GRINA,-0.68478958,190.3790431,116.3511952,-14939.81381,-14967.10229,9.7593E-11
IL6R,-1.477664033,35.50360588,12.60359911,-3597.062962,-3624.341447,9.84746E-11
CMTM6,0.04210635,350.6759198,357.9777329,-25201.71446,-25228.96135,1.01495E-10
MPST,-1.198900833,131.6087166,53.26766225,-9672.259955,-9699.501672,1.01928E-10
ETV4,1.396733217,14.78480483,41.01348538,-4050.234671,-4077.461972,1.03296E-10
ENC1,-1.048816269,102.7278487,47.75886457,-9066.397016,-9093.550714,1.10857E-10
QSOX1,-1.360841256,71.02646125,26.24672483,-5427.234494,-5454.388726,1.10857E-10
PSD,0.825512005,81.2209042,152.1473981,-13987.37456,-14014.51783,1.11906E-10
IFNGR1,-1.16962768,102.1542871,43.14318765,-7791.719599,-7818.854807,1.12652E-10
TENM4,1.101385787,34.99985535,77.08496508,-7413.241639,-7440.376467,1.12652E-10
EID1,0.514670477,193.3546814,280.3902454,-19970.96771,-19998.08167,1.14805E-10
SLC38A1,-1.022958239,71.95965943,34.82810517,-5766.022092,-5793.135973,1.14805E-10
IL13RA1,1.895425556,10,38.51752837,-3471.545942,-3498.646203,1.16256E-10
MID1IP1,-1.095713657,96.44285498,42.07919895,-6568.487266,-6595.569125,1.18279E-10
CASR,0.501829014,35.92046559,52.83667529,-8765.042993,-8792.119987,1.18749E-10
DCAF7,-0.568678272,283.0536482,187.6558111,-19220.18534,-19247.20803,1.25152E-10
GDPD1,-1.416741735,36.6465952,12.8649703,-4235.487065,-4262.491995,1.27249E-10
E2F5,-1.401542552,59.30723487,21.38053447,-5930.807553,-5957.764935,1.33224E-10
CDH3,-0.752522232,76.8124412,45.94162044,-6542.171495,-6569.116829,1.34699E-10
LAPTM4A,-0.492651295,393.6143339,271.219459,-20950.38863,-20977.33268,1.3476E-10
EMC10,0.429008604,246.8703808,344.2137559,-23175.22074,-23202.14174,1.37732E-10
ATP6AP1,-0.283092655,545.1901389,437.8883911,-28235.11964,-28262.03156,1.38854E-10
LY6E,-1.498736542,29.95194259,10,-2268.557217,-2295.46223,1.39684E-10
FGF19,0,10,10,-162.026376,-188.9257979,1.40339E-10
EEF1B2,-0.219349048,594.186079,500.3791384,-26059.66081,-26086.53619,1.43575E-10
UBA52,0.087606952,988.6208703,1047.11588,-32895.56816,-32922.42941,1.45464E-10
THSD7A,-1.147436237,22.28120494,10,-2429.443744,-2456.303173,1.45606E-10
MAN2A1,-0.517953907,245.3026842,164.297282,-19440.93141,-19467.77617,1.47598E-10
CSNK1D,-0.796992236,238.3478695,131.6865547,-15884.94777,-15911.78876,1.47936E-10
STXBP5,0.937089569,30.84110035,61.33985364,-8035.898781,-8062.739563,1.47936E-10
PRKRA,-0.728589598,160.1249619,94.7172908,-11778.16561,-11805.00444,1.48101E-10
SLC7A3,-0.08547922,11.92029572,10,-314.7370382,-341.5564905,1.50824E-10
ABCC1,-1.841577555,37.67230342,10,-3145.335689,-3172.134422,1.538E-10
ELOVL5,0.684617178,136.4255505,224.4055531,-16280.90736,-16307.69087,1.55991E-10
FRMPD3,1.462489858,10,28.80781883,-2847.073463,-2873.82662,1.6058E-10
CRISPLD2,-0.871362854,23.30534719,10,-503.4038965,-530.1479064,1.61899E-10
PDE3B,0.29534876,75.51171881,91.65939408,-12100.71309,-12127.41158,1.69164E-10
GLIS3,0.798192522,53.32135241,93.20497642,-9167.989371,-9194.64091,1.77002E-10
SLC30A7,-0.821331493,112.3003735,61.43083025,-11629.7582,-11656.40285,1.78061E-10
ROR1,-1.156563616,58.09333767,25.04574859,-6880.569354,-6907.17197,1.85414E-10
PPL,-0.662216777,184.6714428,115.0294285,-14427.3149,-14453.91252,1.86177E-10
SVOP,1.231487086,26.8311222,68.01824013,-8113.363394,-8139.939432,1.90012E-10
APOA1,-0.274194214,12.56353102,10,-1001.738729,-1028.283606,1.95758E-10
DDR1,-0.444498128,263.1989346,189.9813236,-20352.33876,-20378.88254,1.95813E-10
NDUFB2,0.693892394,178.488383,303.2354692,-19980.27197,-20006.80875,1.97005E-10
UQCRB,0.393193247,360.949255,480.2022872,-23938.77966,-23965.28303,2.03412E-10
DDAH1,1.564769438,16.48537264,51.99418086,-5385.320694,-5411.776928,2.12707E-10
MARK1,0.975471421,27.93650742,57.44652337,-7693.730066,-7720.186641,2.12707E-10
COL1A2,0,10,10,-1395.641273,-1422.074437,2.17406E-10
ARIH2,-0.607677778,172.9855668,112.5804015,-13313.24774,-13339.6256,2.29355E-10
ABCC5,-0.929525906,84.1421031,43.62569434,-7404.272714,-7430.599369,2.40986E-10
ATP9A,-0.410069363,421.1801103,313.7393369,-23978.20903,-24004.52298,2.43622E-10
SLC2A12,-1.379577102,27.3155132,10,-2084.739739,-2111.053766,2.43622E-10
PTF1A,-0.218248994,14.30900947,10,-342.733084,-369.0349965,2.46323E-10
RCAN2,1.170680763,37.9937608,90.0260212,-8627.501357,-8653.782056,2.51306E-10
CBFB,-0.03694821,145.9357613,144.609967,-16493.16967,-16519.44894,2.5146E-10
YARS,0.986179017,45.47743933,93.75652396,-9772.030109,-9798.228004,2.72155E-10
PRKAA2,0.884461057,23.45382956,45.59291334,-7234.989919,-7261.150346,2.82127E-10
EIF5,-0.42247261,322.9661249,240.1058605,-21027.33431,-21053.49161,2.82769E-10
DDB1,-0.415865374,283.4337455,212.5967604,-19423.48585,-19449.62042,2.88922E-10
MGAT3,-1.025974895,52.02723886,25.64052783,-5103.20065,-5129.327369,2.90928E-10
RHOBTB3,0.487077673,95.88535618,134.8295579,-13942.85343,-13968.96569,2.94853E-10
PITPNC1,-0.046784121,46.95471398,41.69239418,-4366.449238,-4392.53841,3.01374E-10
CPNE1,-0.403496752,302.5244632,228.2924243,-19215.52902,-19241.59048,3.0944E-10
SDC2,1.536398727,19.58408251,60.48462899,-5535.78665,-5561.823243,3.16836E-10
SLC20A1,-1.275890436,72.51690646,28.69555299,-5952.466826,-5978.488751,3.21177E-10
WBP11,-0.60290162,226.6974071,145.2860693,-14499.17798,-14525.13367,3.42481E-10
MEGF6,-0.594475049,20.78451462,10,-319.2931551,-345.243946,3.43861E-10
ELL2,0.381033596,179.1398342,231.6610161,-17962.75915,-17988.70348,3.45777E-10
NUP205,-1.395431627,63.48239273,22.93314559,-4912.133815,-4938.042741,3.57722E-10
DSCAML1,-0.893096796,38.60444825,19.18078215,-2025.986246,-2051.876999,3.63874E-10
MKNK1,0.956076289,30.88276698,61.66245837,-7860.413751,-7886.298865,3.65607E-10
SNED1,-0.99148352,29.91859715,14.94052832,-3909.623143,-3935.496013,3.69737E-10
ZNF428,0.667427736,180.0831896,295.3936677,-19074.55837,-19100.41636,3.74886E-10
MPI,-1.214353013,49.03146585,20.87671792,-4793.745708,-4819.592654,3.78672E-10
AGTRAP,-1.548902801,34.13303206,10,-1362.487077,-1388.321306,3.83129E-10
F5,0,10,10,-411.4147709,-437.2422119,3.85389E-10
SIK2,-0.610155699,163.8881666,106.7633853,-13208.91179,-13234.70747,3.9728E-10
PROX1,-0.578682387,325.9270694,212.2273707,-18922.64981,-18948.42171,4.06343E-10
ARHGAP17,-0.776173703,57.38665587,33.37471661,-7566.710787,-7592.42186,4.31001E-10
GPX3,-0.043766329,49.4507519,47.01553069,-9085.921062,-9111.599698,4.44594E-10
CES4A,1.261636499,10,24.87970419,-2480.967299,-2506.639958,4.46862E-10
BCCIP,-0.782567027,68.6715613,40.0850659,-7717.076322,-7742.726495,4.56477E-10
CDKN1C,-0.468693181,931.3511254,645.2602343,-32181.46538,-32207.11446,4.56614E-10
ZNF431,-1.665483422,45.97242811,13.60280277,-4531.467438,-4557.090793,4.67922E-10
IGSF8,-1.259888213,55.55581817,22.54552473,-5600.670218,-5626.28504,4.71492E-10
CAMK2B,0.672461491,144.5268614,240.0444781,-18070.97742,-18096.59093,4.71735E-10
PLA1A,0,10,10,-477.0569202,-502.6243422,4.93174E-10
ITPRIPL2,0,10,10,-1296.963561,-1322.529498,4.93512E-10
RUNDC3A,0.488435435,121.120372,169.4942964,-13179.15661,-13204.71857,4.95057E-10
ANXA2,-0.969905295,39.25819111,19.21673342,-1967.862649,-1993.422073,4.95808E-10
TECR,-0.881014073,96.68844224,51.68488178,-9108.6946,-9134.253447,4.95808E-10
TCF3,-0.919940036,120.2577537,61.49605319,-9368.409399,-9393.958552,5.00161E-10
AMN,0.50020543,10,13.74361277,-2360.431748,-2385.978069,5.01167E-10
RPS21,-0.196595046,282.5269507,243.1923281,-17842.33983,-17867.86495,5.10916E-10
SLC25A36,-0.511206372,259.7339106,180.3773445,-17106.76764,-17132.29314,5.10916E-10
NT5C3B,-0.686794319,233.5346994,140.9665979,-15790.90849,-15816.42994,5.12366E-10
FAM109B,-0.035962241,10.71657286,10,-833.0718951,-858.587205,5.15065E-10
AKT2,-0.776500141,103.6575961,60.09477783,-9357.401447,-9382.910203,5.17641E-10
TOP2B,-0.461511424,277.1132833,199.5316409,-17578.1311,-17603.63976,5.17641E-10
TRIB2,-0.837516177,37.64909076,19.9943704,-2017.920247,-2043.422274,5.20624E-10
AIF1,-1.265101211,54.24519437,22.02457469,-5029.302704,-5054.729434,5.60111E-10
SMLR1,0.18291589,10,11.78876486,-1085.134327,-1110.550225,5.65663E-10
FAM46A,0.840457133,101.33555,190.1636656,-14564.44366,-14589.76167,6.22202E-10
TPST1,1.549748616,17.48111578,54.88809709,-5663.98595,-5689.291687,6.29259E-10
CLCN3,0.701582876,121.2042304,204.2337627,-16422.13555,-16447.43528,6.32492E-10
CA10,0.921692756,10,20.76252184,-1336.845902,-1362.143448,6.33369E-10
ANP32A,-0.460521236,221.3772189,160.7883856,-17252.19354,-17277.45229,6.57439E-10
PRTG,-1.66430088,38.5748705,11.68860658,-3274.0463,-3299.291056,6.66018E-10
NLRP1,0.41757385,378.1779347,526.4709431,-26907.00545,-26932.24229,6.70702E-10
AQP3,0.672794563,10,16.01976021,-1759.219237,-1784.443303,6.7864E-10
HNRNPK,-0.264254635,623.8133322,520.5677501,-28178.9458,-28204.16521,6.81229E-10
PLPP5,0.956728682,45.84586748,91.26926531,-8912.899777,-8938.097718,6.952E-10
CEACAM1,1.348612731,18.30390761,50.30802378,-6265.396096,-6290.587399,6.99211E-10
RPA1,-1.256597263,65.75802154,26.48540828,-5734.476225,-5759.660295,7.03657E-10
ATP5O,-0.389924271,208.8747272,160.9500315,-16259.99339,-16285.17233,7.06668E-10
PFAS,-1.173492126,23.58156574,10,-2020.163858,-2045.331439,7.14049E-10
LYPLA1,-0.659383329,156.5038437,97.56171316,-13900.79594,-13925.96087,7.15368E-10
HECTD4,-0.501453706,178.0060068,125.1694306,-15696.99212,-15722.15589,7.1564E-10
TRIOBP,-0.713015425,97.86905568,59.63603672,-9984.208467,-10009.35974,7.23923E-10
CRYBA4,-1.128749875,25.72707586,10,-852.3805409,-877.5212412,7.30917E-10
SAR1B,0.69138412,131.8670701,218.5061049,-15878.17531,-15903.31146,7.33632E-10
GADD45G,-1.595302736,63.69473595,19.45127906,-4451.449534,-4476.566012,7.47364E-10
SDF2L1,0.818764714,58.89525195,105.2598103,-9782.106431,-9807.196872,7.66119E-10
SLC18B1,-0.763697461,84.24958416,49.66888488,-7139.261108,-7164.3329,7.79676E-10
SOX13,1.643867246,12.09879978,39.41161895,-3211.634327,-3236.631214,8.3848E-10
MTUS1,1.063076094,13.36802487,26.72508661,-2761.632062,-2786.569584,8.87415E-10
SESTD1,-0.452799143,176.2836611,125.4910402,-16606.26167,-16631.19968,8.87415E-10
MGAT4C,-0.928397164,19.47732571,10.76006385,-3151.563581,-3176.466567,9.17298E-10
TLDC1,-1.571638936,56.30510488,17.77884869,-4635.062781,-4659.961763,9.20217E-10
DGKG,-0.910746376,18.96772655,10,-1769.598097,-1794.480187,9.34889E-10
ROCK1,-0.964826387,140.4856264,68.58781526,-11995.16212,-12020.00417,9.71602E-10
ZHX2,-1.228913357,24.45431496,10,-1933.265024,-1958.103233,9.7454E-10
LMX1B,-0.956414961,104.3849142,52.26606682,-9098.930516,-9123.741172,1.00048E-09
SEMA6A,-1.013159583,26.02457796,12.62600706,-3738.93804,-3763.730962,1.01727E-09
SESN2,0.589569779,95.03703768,144.1896574,-13656.78288,-13681.5482,1.0444E-09
CCDC88C,-0.800709554,88.093193,50.29309879,-8483.478658,-8508.23156,1.05641E-09
RPL8,0.002282773,697.9758839,697.1409424,-28830.62009,-28855.36299,1.06603E-09
PDE7A,-1.144230341,22.8450503,10,-2207.147203,-2231.871951,1.08437E-09
SH3BP5,-0.378430604,45.71302209,36.30527228,-7238.337756,-7263.028953,1.1198E-09
TCF7L1,-0.735848266,18.91439776,10,-937.930936,-962.6130192,1.12902E-09
SSX2IP,-0.674086219,102.6732464,64.28255236,-10474.7665,-10499.42776,1.15146E-09
UPK1A,-1.188822165,25.98189143,10,-1003.781531,-1028.432025,1.16281E-09
C1orf194,-1.08857095,23.85251077,10,-1170.784619,-1195.432451,1.16412E-09
UNC93B1,-2.026986524,47.35609946,10.41852749,-3249.645432,-3274.293915,1.16412E-09
BEGAIN,0.956646774,10,19.70189777,-2280.996006,-2305.626131,1.18363E-09
KCNMB2,1.03340619,10.46727855,22.44253721,-3555.382122,-3579.974764,1.22703E-09
MAP1A,0.983011367,65.90876667,138.4400748,-12050.42047,-12074.99922,1.24293E-09
ZNF330,-0.784771277,99.18403135,56.89110696,-9836.492322,-9861.007414,1.32201E-09
MYL12A,-0.922277367,147.4248545,74.1739634,-10655.29012,-10679.79336,1.33647E-09
C10orf82,-0.876772381,19.21704603,10,-1442.07269,-1466.573766,1.33832E-09
TBC1D4,1.253000581,10.59555779,26.6242431,-3556.309478,-3580.794415,1.35867E-09
ADORA2A,-1.458313902,74.73349037,24.99131583,-5461.970586,-5486.442174,1.37555E-09
LSS,-0.287540311,134.2786199,110.5242781,-15067.53115,-15091.97624,1.41071E-09
VSIG1,0,10,10,-226.2001283,-250.6443588,1.41087E-09
RABGGTB,0.738211226,98.25911288,167.862846,-13408.75771,-13433.1779,1.44345E-09
KIF21A,0.412190094,175.4367781,239.7536967,-19513.8789,-19538.2877,1.45859E-09
STC1,-1.775176402,63.08656283,16.12617513,-3837.075952,-3861.457005,1.49771E-09
OS9,-0.4736147,219.3823782,155.5851737,-18321.26282,-18345.55716,1.62938E-09
SLC25A13,-0.752478188,144.713065,84.03873715,-11093.77936,-11118.03204,1.69481E-09
TOR2A,-0.657684702,24.85735597,16.27420727,-3708.024228,-3732.277272,1.69481E-09
FRK,0.225564833,10,11.03092588,-2019.14648,-2043.38122,1.72362E-09
RNF157,-0.835408247,81.82297943,45.4039947,-6743.568443,-6767.801512,1.72518E-09
RUVBL1,-0.965137821,94.32377144,47.09815246,-8205.790903,-8230.020819,1.72926E-09
POMT2,-1.511089641,48.88919029,16.36902835,-4479.139766,-4503.363314,1.73882E-09
ABCB10,-1.076395165,54.70048399,25.23793291,-6700.799878,-6725.008337,1.76344E-09
SLC38A2,-0.578797736,107.8153444,68.98299077,-7333.483671,-7357.680387,1.78256E-09
TMEM263,1.129695509,48.0740373,111.5654274,-9773.514645,-9797.69272,1.8141E-09
RGS8,-0.014376491,10.51087268,10,-289.370178,-313.5332479,1.83964E-09
FAM57B,-0.457881528,76.01762724,57.07788413,-8779.004875,-8803.16536,1.84297E-09
SNX18,0.878144251,70.31927202,135.5901976,-12379.34836,-12403.507,1.84495E-09
RPS10,0.491164332,224.8185854,322.9065646,-19141.79247,-19165.95009,1.84547E-09
TMED3,0.492709178,164.3979913,232.4734111,-17051.15823,-17075.2911,1.88941E-09
STMN4,-0.899586054,76.89034702,40.70345776,-6065.446447,-6089.556413,1.9309E-09
TAX1BP1,0.594024072,230.8018012,358.8304989,-21109.38844,-21133.49476,1.93641E-09
F10,0.623812518,71.11404185,112.8326292,-12617.38995,-12641.48447,1.95662E-09
SRP14,-0.190154903,1694.521736,1467.882629,-36719.29046,-36743.38471,1.95662E-09
IGF2BP1,-0.922674413,87.23659397,44.83550302,-9276.650736,-9300.736998,1.97057E-09
SLIT1,-1.31552331,45.66962848,17.80372097,-4867.529881,-4891.593061,2.0142E-09
DIRAS2,1.021675514,10,21.30406253,-1517.36233,-1541.417048,2.02951E-09
MARCH1,1.174325077,10,22.67004838,-2529.039659,-2553.074545,2.06785E-09
VPS13A,-0.950829889,91.91408926,45.0747344,-9969.600918,-9993.621915,2.09468E-09
RCC2,-0.651370689,37.46961712,24.99982794,-4960.655467,-4984.659371,2.12853E-09
DDIT3,1.535895507,19.73447424,61.71014919,-4464.348544,-4488.345152,2.14226E-09
HSF4,1.254570841,17.60696008,42.45703424,-3782.953678,-3806.938956,2.16462E-09
HS6ST1,-1.058670661,69.54706161,30.74601432,-4573.271433,-4597.231082,2.21808E-09
RHEB,-0.332867751,227.7092109,182.7629355,-17904.3661,-17928.32389,2.22051E-09
TMEM37,-0.762887947,225.3359761,127.4973964,-15521.28667,-15545.24264,2.2229E-09
ZMYND10,-0.678578164,22.01760282,10,-304.7697662,-328.6583065,2.37303E-09
HSPA1B,0.122369996,50.61320937,54.90664395,-8888.813954,-8912.696259,2.38587E-09
TDO2,-0.535171897,15.91199943,10,-813.3597043,-837.2242725,2.42596E-09
ANP32B,0.252116863,340.4924014,403.2799997,-22651.71848,-22675.57615,2.43984E-09
DNAJB14,0.123066743,101.2157079,108.8676659,-13992.83108,-14016.68837,2.43984E-09
SV2B,-1.377148571,27.22811318,10,-1955.159961,-1979.001974,2.47486E-09
SCAP,-1.301765683,69.64538844,26.6071238,-7283.708001,-7307.522812,2.53989E-09
CCT4,-0.488317093,269.2777103,188.8512664,-17281.73673,-17305.50643,2.65278E-09
IRF2BPL,-0.234835204,327.3632924,281.8964861,-21887.21295,-21910.98131,2.65439E-09
LDB2,-1.012174647,21.59476958,10,-1344.154447,-1367.858831,2.82407E-09
GCLM,-0.846074206,101.7233918,54.8457242,-10307.87199,-10331.54493,2.91036E-09
CTSZ,-0.970474079,162.7051075,78.48414209,-12026.70205,-12050.35825,2.95637E-09
CHD9,0.324976719,115.7438206,145.0130612,-15215.70235,-15239.32477,3.05366E-09
CDO1,-1.427173052,56.61547815,19.88632438,-4440.491261,-4464.105269,3.07676E-09
OCLN,-0.866209822,94.47413129,50.92973001,-8115.047059,-8138.632347,3.16231E-09
EIF4B,0.125524513,726.8696889,783.7212827,-30734.79184,-30758.35272,3.23654E-09
SLC7A11,0.504288548,10,14.21007822,-1437.33907,-1460.889333,3.26805E-09
UBTD2,-0.969979827,172.9477246,83.26341365,-12472.45784,-12495.98296,3.3472E-09
GDAP1L1,0.967595511,72.24311256,148.5387826,-11425.9942,-11449.51554,3.35721E-09
CCNJL,-1.002519037,21.08433655,10,-1602.652464,-1626.15474,3.41808E-09
CBX2,-0.968018241,19.40170256,10,-2269.481105,-2292.981485,3.42201E-09
LAMP2,0.360611069,105.1944102,133.2242041,-13737.6694,-13761.131,3.55199E-09
PIFO,-1.882005668,44.8874759,10.92853651,-2845.63017,-2869.074144,3.61131E-09
COX14,1.191164913,45.94779551,112.4574487,-9517.373464,-9540.811096,3.63124E-09
C21orf59,-0.942322663,80.77065127,41.26590985,-7873.836667,-7897.195921,3.91824E-09
MANEAL,0.137072914,166.6461042,184.4604439,-18464.31477,-18487.66744,3.9408E-09
TTC3,0.359048246,311.5174017,403.4175747,-24373.0716,-24396.41179,3.98648E-09
PPM1G,-0.469653943,195.661709,141.2982363,-16000.8406,-16024.1782,3.99378E-09
PLEKHG4B,-0.203884766,14.18393001,10,-253.2213084,-276.5246723,4.12707E-09
TOMM40,-0.670961663,76.65570897,48.41572747,-8666.65714,-8689.928686,4.25471E-09
CPEB1,1.64414225,11.07252742,36.59451252,-3813.525914,-3836.796218,4.2569E-09
MLXIPL,-0.91837823,59.53908389,30.94778052,-7732.50873,-7755.744353,4.40089E-09
DNAJC12,0.592301959,262.0380365,409.0189495,-22241.15557,-22264.38983,4.40368E-09
NDUFA4,-0.521662807,169.9313296,117.5832459,-12820.40835,-12843.62172,4.49156E-09
KLHL3,-0.911318103,29.21871864,15.64729421,-4700.182399,-4723.385037,4.53583E-09
SMIM6,-0.758821907,119.9667535,69.79948365,-10791.89842,-10815.08081,4.62342E-09
PTP4A3,-1.537763508,60.67570428,19.13849461,-4152.167908,-4175.342366,4.65623E-09
CANX,-0.427358164,970.8359674,698.5198254,-31640.88295,-31664.04748,4.69841E-09
TIPRL,-0.442277477,165.1179565,121.4583163,-15383.1999,-15406.35697,4.72959E-09
RUFY1,-0.810494366,165.4494478,90.3434208,-11288.09896,-11311.22111,4.89067E-09
TMEM238,1.619400443,12.10577863,39.4442832,-4628.315402,-4651.432568,4.9112E-09
DCAF13,-0.960493644,80.42949057,40.29529015,-8203.923906,-8227.032627,4.94854E-09
AMPH,1.621494169,12.54840902,40.91420105,-4070.943458,-4094.039076,5.00896E-09
RASGRF1,0.68574641,10,15.79646271,-2891.433012,-2914.521599,5.04005E-09
CSNK1E,-0.3893298,221.7608622,170.1867169,-16377.69623,-16400.77442,5.08811E-09
B2M,-0.646751674,381.1734151,229.2985404,-20069.37547,-20092.4512,5.09057E-09
SORCS3,0.401732625,10,14.55347488,-689.7832608,-712.8600362,5.09057E-09
TSPAN33,1.343471436,10,25.7350812,-3062.322855,-3085.39842,5.09057E-09
COMMD9,0.858753519,74.03295395,138.9287238,-11870.18339,-11893.17986,5.49671E-09
SESN3,0.752061457,84.16227155,145.872789,-13049.14793,-13072.12435,5.60177E-09
SPATA20,0.757508279,59.68511419,105.8346864,-11433.89053,-11456.86514,5.60783E-09
